Id,SalePrice
1461,121307.734
1462,165330.92
1463,187570.1
1464,195278.2
1465,194007.25
1466,167576.19
1467,158308.83
1468,167483.06
1469,185777.14
1470,123741.21
1471,211465.88
1472,98882.17
1473,97870.305
1474,151552.3
1475,143739.23
1476,343724.16
1477,267109.9
1478,288283.53
1479,252787.56
1480,425778.78
1481,294945.34
1482,203205.95
1483,166058.03
1484,160975.77
1485,163995.38
1486,181666.5
1487,339231.4
1488,223656.22
1489,199813.45
1490,210590.62
1491,185156.1
1492,96204.37
1493,182671.45
1494,293696.8
1495,305757.34
1496,202855.95
1497,186586.8
1498,157916.72
1499,150812.52
1500,161782.72
1501,174316.84
1502,166800.34
1503,289424.1
1504,218361.92
1505,226112.64
1506,192128.77
1507,246693.94
1508,205855.0
1509,173506.5
1510,145058.83
1511,145753.89
1512,168579.97
1513,162974.8
1514,180670.23
1515,227179.25
1516,165449.03
1517,143574.69
1518,131309.86
1519,234608.42
1520,131628.98
1521,143726.28
1522,169643.12
1523,109578.4
1524,126054.414
1525,120226.234
1526,130701.24
1527,98649.45
1528,131903.0
1529,148199.78
1530,180083.89
1531,99847.63
1532,103695.625
1533,139312.25
1534,116331.27
1535,162128.47
1536,108156.695
1537,79134.195
1538,171010.39
1539,123970.164
1540,109940.83
1541,144677.34
1542,138341.58
1543,175701.4
1544,93511.17
1545,107167.02
1546,111445.02
1547,141642.84
1548,136753.45
1549,112255.67
1550,147993.73
1551,106268.55
1552,129772.11
1553,159008.47
1554,115730.23
1555,158313.95
1556,111797.26
1557,119649.22
1558,97720.8
1559,89483.2
1560,127881.46
1561,159837.23
1562,125865.48
1563,119367.555
1564,165694.83
1565,148823.38
1566,219067.61
1567,89425.08
1568,227811.95
1569,124809.63
1570,133557.53
1571,133586.8
1572,151554.22
1573,239944.94
1574,105831.26
1575,193464.94
1576,219245.39
1577,205998.52
1578,152470.06
1579,137334.8
1580,186092.62
1581,144270.53
1582,129400.98
1583,321948.53
1584,239100.77
1585,141333.08
1586,74813.55
1587,104958.61
1588,155698.16
1589,108479.71
1590,139862.28
1591,98000.64
1592,125568.48
1593,116460.055
1594,141215.95
1595,122407.09
1596,257599.98
1597,181424.69
1598,180606.08
1599,193753.23
1600,178074.56
1601,49186.113
1602,105207.85
1603,65071.84
